[2025-06-09 11:15:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b2d6c8b08b2d5ab00cc9606814ca6061).
[2025-06-09 11:15:35] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-09 11:15:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'preferred_locale': 'en-US', 'lazy': True, 'emojis': [], 'max_video_channel_users': 25, 'profile': None, 'premium_subscription_count': 0, 'presences': [], 'mfa_level': 0, 'public_updates_channel_id': None, 'members': [{'user': {'username': 'Mathatatic Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1381203952707829790', 'global_name': None, 'display_name': None, 'discriminator': '8472', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a'}, 'roles': ['1381214823433502822'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T10:14:35.733000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'id': '1381214400517640252', 'moderator_reporting': None, 'name': 'test bot', 'home_header': None, 'incidents_data': None, 'nsfw': False, 'application_id': None, 'afk_channel_id': None, 'unavailable': False, 'large': False, 'guild_scheduled_events': [], 'threads': [], 'activity_instances': [], 'premium_progress_bar_enabled': False, 'discovery_splash': None, 'max_members': 500000, 'hub_type': None, 'safety_alerts_channel_id': None, 'max_stage_video_channel_users': 50, 'system_channel_flags': 0, 'description': None, 'default_message_notifications': 0, 'nsfw_level': 0, 'vanity_url_code': None, 'afk_timeout': 300, 'features': [], 'application_command_counts': {}, 'latest_onboarding_question_id': None, 'region': 'deprecated', 'channels': [{'version': 1749377574933, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1381214401045991551', 'flags': 0}, {'version': 1749377574937, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1381214401045991552', 'flags': 0}, {'version': 1749377574941, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1381214401045991551', 'name': 'general', 'last_message_id': '1381471800919195678', 'id': '1381214401045991553', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1749377574952, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1381214401045991552', 'name': 'General', 'last_message_id': None, 'id': '1381214401045991554', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'voice_states': [], 'banner': None, 'system_channel_id': '1381214401045991553', 'splash': None, 'roles': [{'version': 1749377574929, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1381214400517640252', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749377675656, 'unicode_emoji': None, 'tags': {'bot_id': '1381203952707829790'}, 'position': 1, 'permissions': '8', 'name': 'Mathatatic Bot', 'mentionable': False, 'managed': True, 'id': '1381214823433502822', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'member_count': 3, 'icon': None, 'owner_id': '720985236028129301', 'soundboard_sounds': [], 'rules_channel_id': None, 'premium_features': None, 'inventory_settings': None, 'joined_at': '2025-06-08T10:14:35.733000+00:00', 'version': 1749379678759, 'embedded_activities': [], 'premium_tier': 0, 'stage_instances': [], 'explicit_content_filter': 0, 'verification_level': 0, 'stickers': []}}
[2025-06-09 11:15:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '4d92dc539a9acfc74dbb5d90af041523', 'members': [{'user': {'username': 'antybiu', 'public_flags': 64, 'primary_guild': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'id': '705364115652083743', 'global_name': 'antybiu', 'display_name': 'antybiu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e9e882a952e4c5d9baa76c0c9fae40e9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T11:16:35.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'lonely1438', 'public_flags': 256, 'primary_guild': {'tag': 'e308', 'identity_guild_id': '351476683016241162', 'identity_enabled': True, 'badge': '5410c0c04f21555354039fd700661550'}, 'id': '720985236028129301', 'global_name': 'м¢нιкσмαмє', 'display_name': 'м¢нιкσмαмє', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1349486948942745695', 'expires_at': None, 'asset': 'a_44d96dca4f514777925f23d841f36fac'}, 'avatar': '865e08b5d24a54ea89b76fea859b6848'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T10:12:54.836000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Mathatatic Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1381203952707829790', 'global_name': None, 'display_name': None, 'discriminator': '8472', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8faf0c9a035be4310ce619f4ac03eb3a'}, 'roles': ['1381214823433502822'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T10:14:35.733000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1381214400517640252', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-09 11:15:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:36] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1381214400517640252.
[2025-06-09 11:15:37] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-09 11:15:37] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-09 11:15:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '705364115652083743', 'timestamp': 1749438957, 'member': {'user': {'username': 'antybiu', 'public_flags': 64, 'primary_guild': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'id': '705364115652083743', 'global_name': 'antybiu', 'display_name': 'antybiu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e9e882a952e4c5d9baa76c0c9fae40e9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T11:16:35.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1381214401045991553', 'guild_id': '1381214400517640252'}}
